331_dc_iw1={2.30			0.0461		2.2		0.0459		2.2		0.0479		2.3		0.0478		2.2		0.0468		2.7		0.0456		2.7		0.0452		2.4		0.0497		6.062581486		0.0483	}
331_dc_iw10={2.20			0.0471		2.2		0.0455		2.6		0.0494		2.8		0.0485		2.5		0.0474		3.3		0.0476		2.6		0.0488		2.4		0.0462		6.584093872		0.0493	}
331_dc_iw11={2.20			0.0491		2.2		0.0475		2.2		0.0457		2.3		0.0457		2.5		0.0473		2.7		0.0476		3.4		0.0486		2.4		0.0473		6.388526728		0.0493	}
331_dc_iw12={2.20			0.0493		2.2		0.0475		2.2		0.0468		2.2		0.0496		2.5		0.0475		2.7		0.0465		2.6		0.049		2.4		0.0474		6.062581486		0.048	}
331_dc_iw14={2.20			0.0489		2.2		0.0471		2.2		0.0462		2.3		0.0466		2.2		0.046		2.5		0.0492		3.4		0.0479		2.4		0.0488		6.323337679		0.0489	}
331_dc_iw15={2.20			0.0493		2.2		0.0483		2.2		0.0462		2.3		0.0466		2.2		0.0463		2.6		0.0489		2.6		0.048		2.4		0.0484		5.997392438		0.0491	}
331_dc_iw16={2.30			0.0453		2.2		0.049		2.2		0.0479		2.3		0.047		2.2		0.0464		2.6		0.0492		2.7		0.0454		2.4		0.0499		6.062581486		0.0486	}
331_dc_iw18={2.30			0.0451		2.2		0.0464		2.2		0.0481		2.3		0.0468		2.2		0.0466		2.7		0.0463		2.7		0.0457		2.4		0.0497		6.062581486		0.0482	}
331_dc_iw19={2.30			0.046		2.2		0.046		2.2		0.0472		2.3		0.0475		2.2		0.0471		2.7		0.0454		2.7		0.0451		2.4		0.0499		6.062581486		0.0482	}
331_dc_iw2={2.30			0.0456		2.2		0.0462		2.2		0.0474		2.3		0.047		2.2		0.0469		2.6		0.0493		2.7		0.0452		2.4		0.0497		5.997392438		0.05	}
331_dc_iw20={2.30			0.0461		2.2		0.0456		2.2		0.0481		2.3		0.0484		2.2		0.0473		2.7		0.0467		2.7		0.0463		2.5		0.0459		6.062581486		0.0493	}
331_dc_iw21={2.30			0.0461		2.2		0.0459		2.2		0.0488		2.3		0.0479		2.2		0.0473		2.7		0.0471		2.7		0.0464		2.5		0.046		6.062581486		0.0496	}
331_dc_iw22={2.30			0.046		2.2		0.0461		2.2		0.0483		2.3		0.0477		2.2		0.0474		2.7		0.0463		2.7		0.0451		2.5		0.0457		6.062581486		0.0488	}
331_dc_iw23={2.30			0.0458		2.2		0.0492		2.2		0.0481		2.3		0.0468		2.2		0.0463		2.6		0.0493		2.6		0.0494		2.4		0.0499		6.062581486		0.0485	}
331_dc_iw24={2.20			0.0482		2.2		0.0445		2.2		0.0464		2.3		0.0456		2.2		0.0472		2.7		0.0492		2.7		0.0492		2.4		0.0497		6.062581486		0.0486	}
331_dc_iw25={2.20			0.0479		2.2		0.0445		2.2		0.0463		2.3		0.0456		2.2		0.047		2.7		0.0495		2.7		0.0483		2.4		0.0497		6.062581486		0.0483	}
331_dc_iw26={2.20			0.0479		2.2		0.0445		2.2		0.0462		2.3		0.0455		2.2		0.047		2.7		0.0497		2.7		0.0477		2.4		0.0497		6.062581486		0.0481	}
331_dc_iw27={2.20			0.0485		2.2		0.045		2.2		0.047		2.3		0.0461		2.2		0.0482		2.7		0.0488		2.7		0.0486		2.5		0.0457		6.062581486		0.049	}
331_dc_iw28={2.20			0.0486		2.2		0.0451		2.2		0.0494		2.3		0.049		2.2		0.0477		2.7		0.0483		2.7		0.0477		2.5		0.0463		6.062581486		0.0499	}
331_dc_iw29={2.20			0.0488		2.2		0.0452		2.2		0.0492		2.3		0.0485		2.2		0.0475		2.7		0.0474		2.7		0.0469		2.5		0.0458		6.062581486		0.0492	}
331_dc_iw3={2.20			0.0493		2.2		0.0457		2.2		0.0484		2.3		0.0481		2.2		0.0471		2.7		0.0457		2.7		0.0463		2.4		0.0499		6.062581486		0.0484	}
331_dc_iw30={2.20			0.048		2.2		0.0448		2.2		0.0466		2.3		0.0456		2.2		0.0467		2.7		0.0476		2.7		0.0472		2.4		0.0495		5.997392438		0.0499	}
331_dc_iw31={2.20			0.048		2.2		0.0448		2.2		0.0467		2.3		0.0456		2.2		0.0467		2.7		0.0476		2.7		0.0476		2.4		0.0497		6.062581486		0.0478	}
331_dc_iw32={2.20			0.0478		2.2		0.0448		2.2		0.0466		2.3		0.0456		2.2		0.0466		2.7		0.0475		2.7		0.0471		2.4		0.0495		5.997392438		0.0498	}
331_dc_iw33={2.20			0.048		2.2		0.0447		2.2		0.0464		2.3		0.0455		2.2		0.047		2.7		0.0477		2.7		0.0472		2.4		0.0495		5.997392438		0.05	}
331_dc_iw34={2.20			0.0482		2.2		0.0447		2.2		0.0464		2.3		0.0455		2.2		0.047		2.7		0.0476		2.7		0.0473		2.4		0.0495		5.997392438		0.05	}
331_dc_iw35={2.20			0.0482		2.2		0.0447		2.2		0.0465		2.3		0.0456		2.2		0.047		2.7		0.0478		2.7		0.0474		2.4		0.0495		6.062581486		0.0479	}
331_dc_iw36={2.20			0.0479		2.2		0.0445		2.2		0.0462		2.3		0.0455		2.2		0.047		2.7		0.0497		2.7		0.0498		2.4		0.0496		6.062581486		0.0486	}
331_dc_iw37={2.20			0.0478		2.2		0.0444		2.2		0.0462		2.3		0.0455		2.2		0.047		2.7		0.0498		2.7		0.0477		2.4		0.0496		6.062581486		0.0481	}
331_dc_iw38={2.20			0.0479		2.2		0.0445		2.2		0.0462		2.3		0.0454		2.2		0.047		2.7		0.0479		2.7		0.0499		2.4		0.0495		6.062581486		0.0484	}
331_dc_iw39={2.30			0.0455		2.2		0.0492		2.2		0.048		2.3		0.0483		2.2		0.0476		2.7		0.0469		2.7		0.0464		2.5		0.0465		6.127770535		0.0482	}
331_dc_iw4={2.30			0.0453		2.2		0.047		2.2		0.0476		2.3		0.0465		2.2		0.0457		2.6		0.0483		2.6		0.0477		2.4		0.0498		5.997392438		0.0492	}
331_dc_iw40={2.30			0.0458		2.2		0.0468		2.2		0.0487		2.3		0.0467		2.2		0.0473		2.7		0.0474		2.7		0.0474		2.5		0.0468		6.062581486		0.0499	}
331_dc_iw41={2.30			0.0461		2.2		0.0461		2.2		0.049		2.3		0.0463		2.2		0.0475		2.7		0.0479		2.7		0.0483		2.5		0.0455		6.062581486		0.0497	}
331_dc_iw42={2.30			0.0452		2.2		0.0477		2.2		0.048		2.3		0.0481		2.2		0.0463		2.6		0.0498		2.7		0.045		2.4		0.0497		6.062581486		0.0483	}
